語,漢字・原文,備註,發音,中文意思
べんきょう（する）,勉強（する）,,0,學習、用功
へんけん,偏見,,0,偏見、偏執
べんご,弁護,,1,辨解
へんこう,変更,,0,變更、更改
へんさい,返済,,0,還、還清
へんじ（する）,返事（する）,,3,回答、回覆
へんしゅう,編集,,0,編輯
べんじょ,便所,,3,廁所
べんしょう,弁償,,0,賠償
へんせん,変遷,,0,變遷
ベンチ,bench,,1,板凳、長凳
ペンチ,pinchers,,1,鉗子
へんとう,返答,,"0,3",回答
へんどう,変動,,0,變動、改變
べんとう,弁当,,3,便當
べんり,便利,,1,方便、方便
べんろん,弁論,,0,辯論
ほ,〜歩,,,步、走
ほ,穂,,1,穗、尖端
ぽい,〜ぽい,接尾辞,,表具有某種傾向的意思
ほいく,保育,,"0,1",保育
ボイコット,boycott,,3,聯合抵制
ポイント,point,,0,(重)點
ほう,方「〜より〜の方が」,,1,這一方面
ほう,法,,0,法則、法律、道理、禮節
ほう,方,,1,方向、方形、方面
ぼう,棒,,0,棒子
ぼう,防〜,,,防〜
ほうあん,法案,,0,法律草案、法案
ぼうえい,防衛,,0,防衛、保衛
ぼうえき,貿易,,0,貿易
ぼうえんきょう,望遠鏡,,0,望遠鏡
ぼうか,防火,,0,防火
ほうかい,崩壊,,0,崩潰
ぼうがい,妨害,,0,妨害、防礙
ほうがく,方角,,0,方向、方位
ほうがく,法学,,1,法學、法律學
ほうき,箒,,"0,1",掃箒
ほうき,放棄,,1,放棄
ほうけん,封建,,0,封建
ほうげん,方言,,3,方言
ぼうけん,冒険,,0,冒險
ほうこう,方向,,0,方向
ほうこく,報告,,0,報告
ほうさく,方策,,0,方策
ほうさく,豊作,,0,豐收
ぼうさん,坊さん,,0,和尚
ほうし,奉仕,,"0,1",服務、效力
ぼうし,帽子,,0,帽子
ぼうし,防止,,0,防止
ほうしき,方式,,0,方式、手續
ほうしゃ,放射,,0,放射
ほうしゃのう,放射能,,3,放射能
ほうしゅう,報酬,,0,報酬、工資
ほうしゅつ,放出,,0,放出、發放、處理
ほうじる‧ずる,報じる‧報ずる,,"0,3",報答、報告
ほうしん,方針,,0,方針、磁針
ほうせき,宝石,,0,寶石
ぼうせき,紡績,,0,紡紗
ぼうぜん,呆然、茫然,,0,呆然、茫然
ほうそう,放送,,0,廣播
ほうそう,包装,,0,包裝
ほうそく,法則,,0,法則、規律、定律
ほうたい,包帯,,0,繃帶、紗布
ぼうだい,膨大,,0,膨脹、膨腫
ほうち,放置,,"0,1",放置不理、放置不顧
ほうちょう,包丁,,0,菜刀、廚師、烹調
ぼうちょう,膨張,,0,膨脹、擴大、增加
ほうてい,法廷,,0,法庭
ほうていしき,方程式,,3,方程式
ほうどう,報道,,0,報導
ぼうとう,冒頭,,0,冒頭、開頭
ぼうどう,暴動,,0,暴動
ぼうはん,防犯,,0,防止犯罪
ほうび,褒美,,0,獎勵、獎品
ほうふ,豊富,,"0,1",豐富
ぼうふう,暴風,,3,暴風
ほうほう,方法,,0,方法、辦法
ほうぼう,方々,,1,各方、到處
ほうむる,葬る,,3,埋葬、棄而不顧
ほうめん,方面,,3,方面、部門
ほうもん,訪問,,0,訪問、拜訪
ぼうや,坊や,,1,對男孩子的愛稱
ほうりこむ,放り込む,,4,投進、扔進
ほうりだす,放り出す,,4,扔出去、丟開、開除
ほうりつ,法律,,0,法律
ぼうりょく,暴力,,1,武力、暴力
ほうる,放る,,0,扔、放棄
ほうわ,飽和,,0,飽和
ほえる,吠える,,2,吠、叫、咆哮
ボーイ,boy,,"0,1",服務員、男性侍者、男孩
ホース,hoos,オランダ語,1,軟管
ポーズ,pose/pause,,1,姿勢、暫停
ボート,boat,,1,船、小艇
ボーナス,bonus,,1,紅利、獎金
ホーム,home,,1,家、本壘
ホール,hall/hole,,1,大廳、集會場//孔、穴
ボール,ball/bowl,,"0,1",球//大碗
ボールペン,ballpen,,0,原子筆
ほおん,保温,,0,保溫
ほか,外,,0,另外、其他、外部、別處
ほか,他,,0,另外、其他、外部、別處
ほかく,捕獲,,0,捕獲
ほがらか,朗らか,,2,（天氣）晴朗、（心情）舒暢
ほかん,保管,,0,保管
ほきゅう,補給,,0,補充、供應
ほきょう,補強,,0,補強、增強、加強
ぼきん,募金,,0,募捐
ぼく,僕,,"0,1",我（男子用於客氣的場合）
ぼくし,牧師,,"0,1",牧師
ぼくじょう,牧場,,0,牧場
ぼくちく,牧畜,,0,畜牧
ほげい,捕鯨,,0,補鯨
ポケット,pocket,,"1,2",口袋
ぼける,惚ける、呆ける//暈ける,,2,發呆//模糊
ほけん,保健,,0,保健、保持健康
ほけん,保険,,0,保險
ほご,保護,,1,保護
ぼこう,母校,,1,母校
ぼこく,母国,,1,祖國
ほこり,埃,,0,塵埃、灰塵
ほこり,誇り,,"0,3",自豪、榮譽
ほこる,誇る,,2,自誇、自豪、誇耀
ほころびる,綻びる,,4,綻線、微開
ほし,星,,0,星、小點、目標
ほし〜,干し〜,,0,曬乾（的東西）
ほしい,欲しい,,2,希望得到的、需要的
ポジション,position,,2,地位、(守備)位置
ほしもの,干し物,,"2,3",曬乾的東西
ほしゅ,保守,,1,保守
ほじゅう,補充,,0,補充
ぼしゅう,募集,,0,募集
ほじょ,補助,,1,補助
ほしょう,保証,,0,保証
ほしょう,保障,,0,保障
ほしょう,補償,,0,補償
ほす,干す,,1,烘乾
ポスター,poster,,1,海報
ポスト,post,,1,郵筒、信箱、地位、職位
ほそい,細い,,2,細的
ほそう,舗装,,0,鋪路
ほそく,補足,,0,補充
ほぞん,保存,,0,保存
ボタン,botão/button,"ポルトガル語,英語","0,1",鈕扣//按鍵
ぼち,墓地,,1,墓地
ほっきょく,北極,,0,北極
ほっさ,発作,,0,發作
ぼっしゅう,没収,,0,沒收
ほっそく,発足,,0,成立
ぼっちゃん,坊ちゃん,,1,小朋友、大少爺
ほっと,ほっと,,0,輕輕嘆息的樣子、放心
ポット,pot,,1,(暖)壺、熱水瓶
ほっぺた,頬っぺた,,3,臉蛋
ぼつぼつ,ぼつぼつ,,1,斑點、慢慢
ぼつらく,没落,,0,沒落
ホテル,hotel,,1,旅館
ほど,程,,"0,2",限度、程度
ほどう,歩道,,0,人行道
ほどく,解く,,2,解開
ほとけ,仏,,"0,3",佛像、死者、寬厚仁慈的人
ほどける,解ける,,3,解開
ほどこす,施す,,3,施行
ほとり,畔,,"0,3",旁邊、畔
ほとんど,殆ど,,2,大部份
ほね,骨,,2,骨
ほのお,炎,,1,火焰
ほぼ,略「ほぼ一万円」,,1,大致
ほほ//ほお,頬,,1,頰、臉蛋
ほほえむ,微笑む,,3,微笑
ほめる,褒める,,2,稱讚、讚美
ぼやく,ぼやく,,2,嘟嚷
ぼやける,暈やける,,3,模糊
ほよう,保養,,0,療養
ほり,堀、濠,,2,溝
ほりょ,捕虜,,1,俘虜
ほる,彫る,,1,雕刻
ほる,掘る,,1,挖掘
ボルト,volt/bolt,,"0,1//0",伏特//螺栓
ぼろ,襤褸,,1,數量很多
ほろびる,滅びる,,"0,3",滅亡
ほろぶ,滅ぶ,,"0,2",滅亡、絕滅
ほろぼす,滅ぼす,,"0,3",使…滅亡
ほん,本「書籍」,,1,書
ほん,〜本,,,根、棵、隻等（表示細長物的單位）
ぼん,盆,,0,盤、盆、盂蘭盆節
ほん〜,本〜,,1,本〜
ほんかく,本格,,0,正式
ほんかん,本館,,0,原來的建築物
ほんき,本気,,0,真心
ほんごく,本国,,1,本國
ほんしつ,本質,,0,本質
ほんたい,本体,,1,真相
ほんだな,本棚,,1,書架
ぼんち,盆地,,0,盆地
ほんと,本当,,0,真正
ほんとう,本当,,0,真正
ほんとう,本当に,,"0,5",真正、真實
ほんにん,本人,,1,本人
ほんね,本音,,0,真心話
ほんの,本の〜,,0,僅僅
ほんのう,本能,,"1,3",本能
ほんば,本場,,0,真正產地
ほんぶ,本部,,1,本部
ポンプ,pomp,オランダ語,1,泵、幫浦、抽水馬達
ほんぶん,本文,,1,本文
ほんみょう,本名,,1,眞名
ほんもの,本物,,0,真貨、正式的
ほんやく,翻訳,,0,翻譯
ぼんやり,ぼんやり,,3,模糊
ほんらい,本来,,1,原來
ま,間,,0,間隔
まあ,まあ,感動詞,1,（表示驚嘆）呀、唷
マーク,mark,,1,記號、標章
マーケット,market,,"1,3",市場、商場
まあまあ,まあ-まあ//まあまあ,,1--1//3,好了好了//尚可
まい,〜枚,,,張、塊、片
マイ〜,my,,,我的…
まい〜,毎〜,,1,每
まいあさ,毎朝,,1,每天早晨
マイク,microphone,,1,麥克風
マイクロフォン,microphone,,4,麥克風
まいげつ‧まいつき,毎月,,0,每個月
まいご,迷子,,1,迷路的孩子
まいしゅう,毎週,,0,每星期
まいすう,枚数,,3,張數
まいぞう,埋蔵,,0,埋藏
まいど,毎度,,0,經常
マイナス,minus,,0,減、負號、負面
まいにち,毎日,,1,每天
まいねん‧まいとし,毎年,,0,每年
まいばん,毎晩,,"0,1",每天晚上
まいる,参る,,1,參拜、〔謙讓語〕來、去
まう,舞う,,0,飄揚
まうえ,真上,,3,正上面
まえ,前,,1,前方、以前
まえ,〜前,,,#NAME?
まえうり,前売り,,0,預售
まえおき,前置き,,0,前言
まえもって,前もって,,3,預先
まかす,任す,,2,任憑
まかす,負かす,,0,打敗
まかせる,任せる,,3,委託
まかなう,賄う,,3,維持、供給
まがる,曲がる,,0,彎曲、轉彎
まがる,曲がる,,"0,3",彎、轉彎
まぎらわしい,紛らわしい,,5,容易混淆的
まぎれる,紛れる,,3,混淆
まく,巻く,,0,捲起
まく,蒔く、撒く,,1,播、撒、散佈
まく,幕,,2,布幕
まく,膜,,2,薄膜
まくら,枕,,1,枕頭
まけ,負け,,0,輸
まける,負ける,,"3,0",輸、敗、屈服
まげる,曲げる,,0,歪曲
まご,孫,,2,孫子
まごころ,真心,,2,誠心誠意
まごつく,間誤つく,,0,驚慌、不知所措
まこと,誠,,0,誠心
まことに,誠に,,0,實在
まごまご,まごまご,,1,不知如何是好
まさか,まさか,,1,決（不…）、萬萬（想不到）
まさしく,正しく,,2,的確
まさつ,摩擦,,0,摩擦
まさに,正に、将に,,1,真的、確實
まさる,勝る,,2,勝、強
まざる,混ざる、交ざる,,2,混、混合
まし,〜増し,,,增加
まじえる,交える,,3,混雑、攙和
ました,真下,,3,正下面
まして,況して,,1,況且
まじめ,真面目,,0,認真的
まじる,混じる、交じる,,2,混雑、同…一起
まじわる,交わる,,3,交、交叉、交際
ます,増す,,0,增加
まず,先ず,,1,先、首先
ますい,麻酔,,0,麻醉
まずい,不味い,,2,難吃、不妙
マスク,mask,,1,(假)面具、容貌
マスコミ,masscommunication,,0,大眾傳播、大眾宣傳
まずしい,貧しい,,3,貧窮的
マスター,master,,1,主人、精通、碩士
ますます,益々,,2,越發
まぜる,混ぜる、交ぜる,,2,混和
また,又,,"0,1,2",另、別、又
また,股,,2,叉、岔
まだ,未だ,,1,還、尚、依然、尚未、仍舊、另外
またがる,跨る「馬に〜」,,3,跨
またぐ,跨ぐ,,2,跨過
または,又は,,2,或、或是
まち,町,,2,城鎮
まち,街,,2,街
まちあいしつ,待合室,,3,等候室
まちあわせ,待ち合わせ,,0,等候會見
まちあわせる,待ち合わせる,,5,等候見面
まちがい,間違い,,3,錯誤
まちがう,間違う,,3,弄錯
まちがえる,間違える,,"3,4",做錯、搞錯、弄錯
まちかど,街角,,0,街角
まちどおしい,待ち遠しい,,5,急切盼望的
まちのぞむ,待ち望む,,0,盼望、期待
まちまち,区々,,"0,2",形形色色
まつ,待つ,,1,等、等待
まつ,松,,1,松樹
まつ,末,,"0,1",末、底
まっか,真っ赤,,3,鮮紅、純粹
まっき,末期,,1,末期
まっくら,真暗,,3,漆黑
まっくろ,真黒,,3,烏黑
マッサージ,massage,,3,按摩
まっさお,真青,,3,深藍
まっさき,真先,,3,最先
まっしろ,真白,,3,潔白
まっしろい,真白い,,4,雪白
まっすぐ・に,真っ直ぐ・真っ直ぐに,,3,筆直、直接
まったく,全く,,0,完全
マッチ,match,,1,火柴、調和、比賽
まっぷたつ,真っ二つ,,3,兩半
まつり,祭,,"0,3",祭典、節
まつる,祭る、祀る,,"0,2",祭祀、崇敬
まと,的,,0,的、目的
まど,窓,,1,窗戶
まどぐち,窓口,,2,窗口
まとまり,纏り,,0,集中、統一、一貫
まとまる,纏る,,0,匯集、集中起來、結束
まとめ,纏め,,0,歸納、收集
まとめる,纏める,,0,歸納、整理
まなぶ,学ぶ,,3,學習
まにあう,間に合う,,3,趕得上、來得及
まぬがれる,免れる,,4,避免
まね,真似,,0,仿效
まねき,招き,,3,招待
まねく,招く,,2,招呼
まねる,真似る,,0,模仿
まばたき,瞬き,,3,眨眼、轉瞬
まひ,麻痺,,1,麻痺
まぶしい,眩しい,,3,耀眼的
まぶた,瞼,,1,眼皮
マフラー,muffler,,1,圍巾
ママ,mama,,1,媽媽、女店主
まま,〜まま,,,任意、照舊
まみれ,〜まみれ,,,沾滿
まめ,豆,,2,豆子
まもなく,間も無く,,2,不久
まもる,守,,2,遵守
まゆ,眉,,1,眉毛
まよう,迷う,,2,迷失
マラソン,marathon,,0,馬拉松
まり,鞠,,2,鞠
まる,丸．円,,0,圓形、句點
まるい,丸い、円い,,"0,2,3",圓的、圓滿的
まるごと,丸ごと,,0,完整的
まるっきり,丸っきり,,5,全然
まるで,まるで,,3,宛如
まるまる,丸々,動詞//副詞,0//3,蜷曲、變得圓//完全、胖嘟嘟
まるめる,丸める,,0,弄圓
まれ,稀,,0,少有
まわす,回す,,0,使旋轉
まわり,回り．周り,,0,周圍
まわりみち,回り道,,"0,3",繞道
まわる,回る、周る,,"0,3",轉、繞道
まん,万,,1,萬、極多
まん（が）いち,万（が）一,,1,萬一
まんいん,満員,,0,滿額
まんが,漫画,,0,漫畫
まんげつ,満月,,1,滿月
まんじょう,満場,,0,全場
マンション,mansion,,1,公寓、住宅大樓
まんせい,慢性,,0,慢性
まんぞく,満足,,1,滿足、滿意
まんてん,満点,,3,滿分
まんなか,真ん中,,0,正中央
まんねんひつ,万年筆,,3,自來水筆、鋼筆
まんまえ,真前,,3,正前方
まんまるい,真丸い、真ん円い,,"0,4",圓圓的
み,未〜,,0,尚未、沒
み,身,,0,身體
み,実,,0,果實、內容、成果
み,〜み,接尾辞,,表示狀態，程度
み,〜味,,,味
みあい,見合い,,0,相親
みあげる,見上げる,,"0,3",尊敬
みあわせる,見合わせる,,"0,4",互相看
みえる,見える,,2,看得見
みおくり,見送り,,0,目送
みおくる,見送る,,0,送行
みおとす,見落す,,"0,3",看漏
みおろす,見下ろす,,0,俯視
みかい,未開,,0,未開化
みかく,味覚,,0,味覺
みがく,磨く,,0,刷、磨
みかけ,見掛け,,0,外表
みかける,見掛ける,,"0,3",見過
みかた,味方,,0,夥伴
みかた,見方,,"2,3",看法
みかづき,三日月,,0,月牙形
みき,幹,,1,樹幹
みぎ,右,,0,右側、右傾
みぐるしい,見苦しい,,4,難看
みごと,見事,,1,漂亮、完全
みこみ,見込み,,0,希望、預計
みこん,未婚,,0,未婚
みさき,岬,,0,海角
みじかい,短い,,3,短、短暫
みじめ,惨め,,1,悲慘
みじゅく,未熟,,"0,1",未成熟
ミシン,sewingmachine,,1,縫紉機
みじん,微塵,,0,微小
ミス,miss,,1,錯誤、失誤
ミス,Miss,,1,小姐
みず,水,,0,水、液體
みずうみ,湖,,3,湖
みずから,自ら,,1,親自
みずぎ,水着,,0,游泳衣
みずけ,水気,,0,水分
ミスプリント,misprint,,4,錯字、印刷錯誤
みすぼらしい,見窄らしい,,"0,5",破舊
みせ,店,,2,商店、鋪子
ミセス,Mrs.,,1,太太、夫人
みせびらかす,見せびらかす,,5,炫燿
みせもの,見せ物,,"3,4",讓人觀看
みせや,店屋,,2,店舖
みせる,見せる,,2,給看、讓看
みそ,味噌「みそ汁」,,1,豆醬
みぞ,溝,,0,水溝
みたい,〜みたい,,,像〜一樣
みだし,見出し,,0,標題
みたす,満たす,,2,裝滿
みだれ,乱れ,,3,打亂
みだれる,乱れる,,3,雜亂
みち,道,,0,道路、辦法
みち,未知,,1,未知
みぢか,身近,,0,切身、近旁
みちじゅん,道順,,0,路線、順序
みちばた,道端,,0,道旁、路邊
みちびく,導く,,3,引導
みちる,満ちる,,2,充滿
みつ,蜜,,1,蜜
みっか,三日,,0,三日、三號
みつかる,見付かる,,"0,4",被看到
みつける,見付ける,,"0,4",找、發現
みっしゅう,密集,,0,密集
みっせつ,密接,,0,緊接
みっつ,三つ,,0,三個、三歲
みつど,密度,,1,密度
みっともない,見っともない,,5,不好看
みつめる,見詰める,,0,凝視
みつもり,見積もり,,0,估計
みてい,未定,,0,未決定
みとおし,見通し,,0,預測
みとめる,認める,,0,看到
みどり,緑,,1,綠色
みな,皆,,2,全部、都
みなおす,見直す,,0,好轉
みなさん,皆さん,,2,大家、各位
みなす,見做す,,"0,2",認為
みなと,港,,0,港口
みなみ,南,,0,南、南方
みなもと,源,,0,水源、起源
みならう,見習う,,0,見習
みなり,身形,,1,打扮
みなれる,見慣れる,,0,眼熟
みにくい,醜い,,3,難看
みね,峰,,"0,2",山峰
みのうえ,身の上,,4,境遇
みのがす,見逃す,,0,看漏
みのまわり,身の回り,,0,身邊
みのる,実る,,0,成熟、結果
みはからう,見計らう,,0,估計、斟酌
みはらし,見晴らし,,0,眺望
みぶり,身振り,,"0,1",姿態
みぶん,身分,,1,身分
みほん,見本,,0,樣品、樣本
みまい,見舞い,,0,探望
みまう,見舞う,,0,慰問
みまん,未満,,1,不足、不滿
みみ,耳,,2,耳朵
みゃく,脈,,2,血管、脈絡、希望
みやげ,土産,,0,禮物、土特產品
みやこ,都,,0,首都
ミュージック,music,,1,音樂
みょう,妙,,1,奇妙
みょう,明〜,,,明〜
みょうごにち,明後日,,3,後天
みょうじ,名字,,1,姓氏
みらい,未来,,1,將來
ミリ（メートル）,millimètre,フランス語,1(3),公厘
みりょく,魅力,,0,魅力、吸引力
みる,見る,,1,看見、體驗
みる,診る,,1,診察
ミルク,milk,,1,牛奶、奶粉
みれん,未練,,1,依依不捨
みわたす,見渡す,,"0,3",瞭望
みんかん,民間,,0,民間、私人
みんしゅ,民主〜,,"0,1",民主
みんしゅく,民宿,,0,民宿、家庭旅店
みんぞく,民俗,,1,民俗
みんぞく,民族,,1,民族
みんな,皆,名詞//副詞,3//0,大家//全部、都
みんよう,民謡,,0,民歌、民謠
む,無,,1,無、沒有
むいか,六日,,0,六號、六日、六天
むいみ,無意味,,2,無意義
ムード,mood,,1,風氣、傾向
むかい,向い,,0,對面
むかう,向う,,0,面向、往、去
むかえ,迎え,,0,迎接
むかえる,迎える,,"4,0",迎接
むかし,昔,,0,從前
むき,向き,,1,方向
むく,向く,,0,向、朝
むく,剥く,,0,剝、削
むくち,無口,,1,不愛說話
むけ,〜向け,,,面向
むける,向ける,,0,向
むげん,無限,,0,無限
むこ,婿,,1,婿
むこう,向こう,,"0,2",對面、對方
むこう,無効,,0,無效
むごん,無言,,0,無言、不說話
むし,虫,,0,昆蟲、蟲子
むし,無視,,1,不顧‧忽視
むじ,無地,,1,素色
むしあつい,蒸暑,,4,悶熱
むしば,虫歯,,0,蛀牙
むじゃき,無邪気,,1,思想單純、幼稚
むじゅん,矛盾,,0,產生矛盾
むしる,毟る,,0,拔、撕、揪
むしろ,寧ろ,,1,與其…不如
むす,蒸す,,1,蒸
むすう,無数,,2,無數
むずかしい,難しい,,"0,4,5",難理解、難解決
むすこ（さん）,息子（さん）,,0,兒子‧男孩
むすび,結,,0,緊、結束、飯團
むすびつき,結び付き,,0,聯繫、結合、關係
むすびつく,結び付く,,4,有關係、結成一體
むすびつける,結び付ける,,5,結合
むすぶ,結ぶ,,0,繫、結、結合、建立關係、緊閉
むすめ（さん）,娘（さん）,,3(0),女兒、姑娘
むせん,無線,,0,無線電、無線
むだ,無駄,,0,延帶、浪費
むだづかい,無駄遣い,,3,浪費
むだん,無断,,1,擅自、私自
むち,無知,,1,無知、無知識
むちゃ,無茶,,1,毫無道理、胡亂、亂來
むちゃくちゃ,無茶苦茶,,0,毫無道理、亂七八糟、過分
むちゅう,夢中,,0,夢中、熱中、沉醉
むっつ,六つ,,3,第六、六個、六歳
むなしい,空しい、虚しい,,3,空虛、徒然
むね,胸,,2,胸、心、肺、內心
むねん,無念,,1,無牽無掛、懊悔
むのう,無能,,0,無能、無才能
むやみに,無闇,,1,胡亂、過度
むよう,無用,,"0,1",沒用處、沒事、沒必要
むら,村,,2,村莊
むら,斑,,0,不均勻、不齊
むらがる,群がる,,3,群集
むらさき,紫,,2,紫色、紫丁香、醬油
むり,無理,,1,無理、勉強、不講道理
むりょう,無料,,"0,1",不用錢、免費
むれ,群,,2,群、伙
むろん,無論,,0,不用說、當然
め,目,,1,眼睛、眼球
め,〜目,,,第〜、正在…的時候
め,芽,,1,芽
めい,姪,,1,姪女、外甥女
めい,〜名,,,位、人
めい〜,名〜,,,知名、有名
めいかく,明確,,0,明確
めいさく,名作,,0,名作、傑出的作品
めいさん,名産,,0,名產
めいし,名刺,,0,名片
めいし,名詞,,0,名詞
めいしょ,名所,,3,名勝
めいしょう,名称,,0,明稱
めいじる・ずる,命じる・命ずる,,0,命令、任命、命名
めいしん,迷信,,0,迷信
めいじん,名人,,3,名人、名家、國手
めいちゅう,命中,,0,命中
めいはく,明白,,0,明白
めいぶつ,名物,,1,有名的東西
めいぼ,名簿,,0,名冊
めいめい,銘々,,3,各自
めいよ,名誉,,1,名譽
めいりょう,明瞭,,0,明瞭
めいれい,命令,,0,命令
めいろう,明朗,,0,明朗
めいわく,迷惑,,1,迷惑
めうえ,目上,,0,上司、長輩
メーカー,maker,,"0,1",製造商
メーター,meter,,"0,1",公厘、儀表
メートル,mètre,フランス語,0,公尺
メール//ｅメール//Ｅメール,mail,,"0,1",電子郵件、信件
めかた,目方,,0,重量
めがね,眼鏡,,1,眼鏡
めぐまれる,恵まれる,,0,賦予
めぐみ,恵み,,0,恩惠
めぐむ,恵む,,2,施恩
めくる,捲る,,0,揭下、翻
めぐる,巡る,,0,循環
めざす,目指す,,2,以…目標
めざまし,目覚まし,,2,叫醒
めざましい,目覚ましい,,4,驚人
めざめる,目覚める,,3,覺醒
めし,飯,,2,飯
めしあがる,召し上がる,,"0,4,5",〔尊敬語〕吃、喝、吸
めした,目下,,"0,3",部下
めじるし,目印,,2,記號
めす,召す,,1,召見
めす,雌,,2,雌
めずらしい,珍しい,,4,新奇的、罕見的
めだつ,目立つ,,2,顯眼
めちゃくちゃ,滅茶苦茶,,0,不合理、荒謬、亂七八糟
めつき,目付き,,1,眼神
めっきり,めっきり,,3,顯著
メッセージ,message,,1,信息、通信
めった,滅多に,,1,胡亂、魯莽
めつぼう,滅亡,,0,滅亡
メディア,media,,1,媒體
めでたい,目出度い,,3,可喜可賀
めど,目途,,1,針孔
メニュー,menu,フランス語,1,菜單、一覽表
めまい,眩暈,,2,暈眩
メモ,memo,,1,便條(紙)、記錄要點
めもり,目盛り,,3,度數、刻度
めやす,目安,,"0,1",目標、標識
メロディー,melody,,1,旋律
めん,綿,,1,綿
めん,面,,"0,1",臉、假面、表面
めんかい,面会,,0,見面
めんきょ,免許,,1,批准、許可
めんじょ,免除,,1,免除
めんする,面する,,3,面向
めんぜい,免税,,0,免税金
めんせき,面積,,1,面積
めんせつ,面接,,0,接見、面試
めんどう,面倒,,3,麻煩、棘手、照料
めんどうくさい,面倒臭い,,6,非常麻煩
めんどくさい,面倒臭い,,5,非常麻煩
メンバー,member,,1,成員、選手
めんぼく・めんもく,面目,,0,面目、名譽
も,喪,,0,居喪
もう,もう「もう一度」,,0,另外、再
もう,もう「もう、帰りました」,,1,已經、既
もう,〜網,,,網
もうかる,儲かる,,3,賺錢、得便宜
もうける,儲ける,,3,賺錢、得利
もうける,設ける,,3,預備
もうしあげる,申し上げる,,"0,5",〔謙讓語〕說、講
もうしいれる,申し入れる,,"0,5",提議
もうしこみ,申し込み,,0,報名、申請
もうしこむ,申し込む,,"0,4",報名、提出
もうしで,申し出,,0,申請
もうしでる,申し出る,,0,申述
もうしぶん,申し分,,3,缺點
もうしわけ,申し訳,,0,申辨
もうしわけない,申し訳ない,,0,十分對不起
もうす,申す,,1,〔謙讓語〕說、講、叫作、告訴
もうすぐ,もう直ぐ,,3,馬上
もうてん,盲点,,1,盲點
もうひとつ,もう一つ,,4,更
もうふ,毛布,,1,毛毯
もうれつ,猛烈,,0,兇猛
もえる,燃える,,0,燃燒、(情熱)洋溢
モーター,motor,,1,原動機、馬達
モーテル,motel,,1,情侶旅館、汽車旅館
もがく,踠く,,2,扭動
もくざい,木材,,"0,2",木材
もくじ,目次,,0,目錄
もくてき,目的,,0,目的
もくひょう,目標,,0,指標、目標
もくよう//もく,木曜//木,,3//1,星期四
もくようび,木曜日,,3,星期四
もぐる,潜る,,2,潛入
もくろく,目録,,0,目次
もくろみ,目論見,,"0,4",計劃
もけい,模型,,0,模型、雛型
もさく,模索,,0,探尋
もし,若し,,1,如果
もじ//もんじ,文字,,1,字
もしかしたら,若しか-したら,,1--2,萬一
もしかして,若しかして,,1,如果、萬一
もしかすると,若しか-すると,,1--0,也許
もしくは,若しくは,,0,或、或者
もしも,若しも,,1,假使
もしもし,もしもし,,1,(打電話時)喂喂
もたらす,齎す,,"0,3",帶來
もたれる,凭れる,,3,倚靠
モダン,modern,,"0,1",近代的、摩登
もち,餅,,0,年糕
もち,〜持ち,,,負擔、持有、持久性
もちあげる,持ち上げる,,"0,4",拿起
もちいる,用いる,,"0,3",用、使
もちきり,持ち切り,,0,論一件事
もちろん,勿論,,2,當然、不用說
もつ,持つ,,1,拿、帶來、保持
もっか,目下,,1,當前
もったいない,勿体無い,,5,有罪的
もって,以って,,1,用、由於
もっと,もっと,,1,更、進一步
もっとも,尤も,形容動詞//接続詞,"1,3",合理、正確//可是、不過
もっとも,最も,,"1,3",最
もっぱら,専ら,,"0,1",專門
もてなす,持て成す,,"0,3",對待
もてる,持てる,,2,受歡迎、吃香、能拿
モデル,model,,"0,1",模式、型號、模特兒
もと,元,,2,本源
もと,基,,2,根基
もどす,戻す,,2,返還
もとづく,基づく,,3,根據
もとめる,求める,,3,追求、要求
もともと,元々,,0,本來、元來
もどる,戻る,,2,返回
モニター,monitor,,"0,1",顯示器、監視
もの,物,,"0,2",物品、物質
もの,者,,2,人
もの,〜物,,2,東西
ものおき,物置,,"3,4",倉庫
ものおと,物音,,"3,4",響動
ものがたり,物語,,3,談話
ものがたる,物語る,,4,說明
ものごと,物事,,2,事物
ものさし,物差し,,"3,4",標準
ものずき,物好き,,2,好奇
ものすごい,物凄い,,4,可怕的
ものたりない,物足りない,,"0,5",不太充分的
モノレール,monorail,,3,單軌電車
もはや,最早,,1,已經
もはん,模範,,0,模範
もほう,模倣,,0,模仿
もみじ,紅葉,,1,紅葉
もむ,揉む,,0,搓
もめる,揉める,,0,爭執
もめん,木綿,,0,棉花、棉紗
もも,股、腿,,1,大腿
もやす,燃やす,,0,燃燒
もよう,模様,,0,花紋
もよおし,催し,,2,集會
もよおす,催す,,"0,3",擁抱、擧行
もらう,貰う,,0,接受、取得
もらす,漏らす,,2,遺漏、漏出
もり,森,,0,樹林
もりあがる,盛り上がる,,4,隆起
もる,盛る,,0,裝滿
もる,漏る,,2,漏出、透過
もれる,漏れる,,2,漏出、洩漏、落選
もろい,もろに,,1,徹底地
もろい,脆い,,2,易壞的
もん,門,,1,門、----之門
もん,〜問,,,質問
もんく,文句,,1,話說、不滿
もんだい,問題,,0,問題、(麻煩)事件
もんどう,問答,,"1,3",爭論
や,〜屋,,,〜店
や,〜夜,,,夜、夜晩
や,矢,,1,箭
やおや,八百屋,,0,蔬菜店、蔬菜商人
やがい,野外,,"0,1",郊外
やがて,軈て,,0,不久
